"region","valår",Valdeltagande i riksdagsval, procent
"0140 Nykvarn","1988",..
"0140 Nykvarn","1991",..
"0140 Nykvarn","1994",..
"0140 Nykvarn","1998",83.8
"0140 Nykvarn","2002",83.0
"0140 Nykvarn","2006",84.8
"0140 Nykvarn","2010",87.7
"0140 Nykvarn","2014",89.4
"0160 Täby","1973",93.4
"0160 Täby","1976",94.4
"0160 Täby","1979",93.3
"0160 Täby","1982",94.3
"0160 Täby","1985",93.0
"0160 Täby","1988",90.1
"0160 Täby","1991",91.5
"0160 Täby","1994",91.4
"0160 Täby","1998",87.5
"0160 Täby","2002",86.7
"0160 Täby","2006",87.9
"0160 Täby","2010",88.9
"0160 Täby","2014",89.8
"0162 Danderyd","1973",94.5
"0162 Danderyd","1976",95.7
"0162 Danderyd","1979",95.1
"0162 Danderyd","1982",95.0
"0162 Danderyd","1985",94.5
"0162 Danderyd","1988",92.0
"0162 Danderyd","1991",93.0
"0162 Danderyd","1994",92.1
"0162 Danderyd","1998",88.2
"0162 Danderyd","2002",87.6
"0162 Danderyd","2006",88.5
"0162 Danderyd","2010",90.5
"0162 Danderyd","2014",90.8
"0163 Sollentuna","1973",93.3
"0163 Sollentuna","1976",94.4
"0163 Sollentuna","1979",92.9
"0163 Sollentuna","1982",93.4
"0163 Sollentuna","1985",92.3
"0163 Sollentuna","1988",88.3
"0163 Sollentuna","1991",90.1
"0163 Sollentuna","1994",89.8
"0163 Sollentuna","1998",85.1
"0163 Sollentuna","2002",84.6
"0163 Sollentuna","2006",85.8
"0163 Sollentuna","2010",87.5
"0163 Sollentuna","2014",87.7
"0180 Stockholm","1973",89.2
"0180 Stockholm","1976",90.3
"0180 Stockholm","1979",89.0
"0180 Stockholm","1982",90.0
"0180 Stockholm","1985",88.8
"0180 Stockholm","1988",84.7
"0180 Stockholm","1991",85.7
"0180 Stockholm","1994",85.4
"0180 Stockholm","1998",81.0
"0180 Stockholm","2002",80.7
"0180 Stockholm","2006",82.4
"0180 Stockholm","2010",85.0
"0180 Stockholm","2014",85.8
"0181 Södertälje","1973",90.3
"0181 Södertälje","1976",90.9
"0181 Södertälje","1979",89.4
"0181 Södertälje","1982",90.4
"0181 Södertälje","1985",88.2
"0181 Södertälje","1988",83.0
"0181 Södertälje","1991",83.9
"0181 Södertälje","1994",84.3
"0181 Södertälje","1998",77.2
"0181 Södertälje","2002",76.2
"0181 Södertälje","2006",77.5
"0181 Södertälje","2010",79.5
"0181 Södertälje","2014",77.9
"0182 Nacka","1973",91.9
"0182 Nacka","1976",93.0
"0182 Nacka","1979",91.7
"0182 Nacka","1982",92.7
"0182 Nacka","1985",91.2
"0182 Nacka","1988",87.0
"0182 Nacka","1991",88.3
"0182 Nacka","1994",88.1
"0182 Nacka","1998",83.9
"0182 Nacka","2002",83.2
"0182 Nacka","2006",85.9
"0182 Nacka","2010",88.0
