year,municipality,value
1973,0114,9.771313402268685
1973,0115,8.541176902310006
1973,0117,8.57431778863063
1973,0120,9.484863443104016
1973,0123,10.042657202856214
1973,0125,10.666708855015818
1973,0126,10.257130122753525
1973,0127,10.321874426014405
1973,0128,11.214254569948041
1973,0136,9.659011460067275
1973,0138,9.08734094247516
1973,0139,10.433312979540805
1973,0140,10.713080055582902
1973,0160,9.615156932541
1973,0162,10.498577538367554
1973,0163,10.211061745945877
1973,0180,10.754275893301664
1973,0181,11.065792002237556
1973,0182,9.60440344338556
1973,0183,10.725701143673684
1973,0184,10.814022212466396
1973,0186,9.605487470225611
1973,0187,8.672529508068866
1973,0188,9.001394270263882
1973,0191,9.758147355077762
1973,0192,10.473045333206473
1973,0305,10.415741407282836
1973,0319,10.107158830171947
1973,0330,9.784709319034608
1973,0331,9.623558727107412
1973,0360,9.343184965755388
1973,0380,10.0706380803713
1973,0381,9.882817923860872
1973,0382,9.067598048268444
1973,0428,11.12574418358455
1973,0461,10.143812512687779
1973,0480,10.983597620800115
1973,0481,11.499636216307206
1973,0482,10.548084525670454
1973,0483,11.952987712136697
1973,0484,10.255475832415593
1973,0486,10.009646177158956
1973,0488,10.800521278294948
1973,0509,11.966575854966507
1973,0512,12.269587466661717
1973,0513,12.692508098880385
1973,0560,12.552372866376395
1973,0561,13.040636417578977
1973,0562,12.690145065794894
1973,0563,12.821746374215426
1973,0580,13.47457852249154
1973,0581,12.707045154943842
1973,0582,12.790479847821917
1973,0583,13.480326084212088
1973,0584,13.202904394442037
1973,0586,14.102164503369409
1973,0604,11.093198468558946
1973,0617,11.973173490244747
1973,0642,11.226487649689808
1973,0643,11.038374081986891
1973,0662,12.095972581032107
1973,0665,11.413937044352718
1973,0680,11.120228238406773
1973,0682,11.280101526783827
1973,0683,12.629955732276843
1973,0684,11.646313561403485
1973,0685,11.91203057711214
1973,0686,12.624916345989396
1973,0687,11.638335894245884
1973,0760,12.014664462263603
1973,0761,13.482741155774999
1973,0763,13.450225450775832
1973,0764,13.808927545365684
1973,0765,12.996746952213728
1973,0767,11.130469143155858
1973,0780,13.737826758255014
1973,0781,12.567659676235614
1973,0821,12.679109826630766
1973,0834,12.652873840006182
1973,0840,13.002163574186628
1973,0860,12.191986756858812
1973,0861,12.396113105577808
1973,0862,13.761842935656226
1973,0880,12.78286016853975
1973,0881,13.411293339860993
1973,0882,12.635826687618637
1973,0883,13.102008083331384
1973,0884,11.960285910592432
1973,0885,12.754575908961051
1973,0980,10.97142805818776
1973,1060,13.224881876443913
1973,1080,12.812568412151602
1973,1081,13.834782797600665
1973,1082,13.076747606966777
1973,1083,12.552582218808885
1973,1214,13.107695169776713
1973,1230,12.62229900038442
1973,1231,12.062653541446824
1973,1233,12.091828073006035
1973,1256,12.989621768466828
1973,1257,12.202309416182356
1973,1260,12.63603114022608
1973,1261,12.635858532087802
1973,1262,12.256602908599262
1973,1263,11.662461701827628
