year,municipality,value
1973,0114,0.0
1973,0115,0.0
1973,0117,0.0
1973,0120,0.036737499255768656
1973,0123,0.0
1973,0125,0.0
1973,0126,0.0
1973,0127,0.0
1973,0128,0.0
1973,0136,0.0
1973,0138,0.0
1973,0139,0.0
1973,0140,0.0
1973,0160,0.0
1973,0162,0.0
1973,0163,0.0
1973,0180,0.0
1973,0181,0.0
1973,0182,0.0
1973,0183,0.0
1973,0184,0.0
1973,0186,0.0
1973,0187,0.0
1973,0188,0.0
1973,0191,0.0
1973,0192,0.0
1973,0305,0.0
1973,0319,0.0
1973,0330,0.10454738290885138
1973,0331,0.0
1973,0360,0.007702627042958504
1973,0380,0.4592961286771554
1973,0381,0.0
1973,0382,0.0
1973,0428,0.0
1973,0461,0.0
1973,0480,0.0
1973,0481,0.0
1973,0482,0.0
1973,0483,0.0
1973,0484,0.19181484166194174
1973,0486,0.0
1973,0488,0.0
1973,0509,0.0
1973,0512,0.0
1973,0513,0.0
1973,0560,0.0
1973,0561,0.0
1973,0562,0.0
1973,0563,0.0
1973,0580,0.0
1973,0581,0.0
1973,0582,0.0
1973,0583,0.0
1973,0584,0.0
1973,0586,0.0
1973,0604,0.0
1973,0617,0.0
1973,0642,0.0
1973,0643,0.0
1973,0662,0.034408375789003444
1973,0665,0.0
1973,0680,0.0
1973,0682,0.0
1973,0683,0.0
1973,0684,0.0
1973,0685,0.0
1973,0686,0.0
1973,0687,0.0
1973,0760,0.0
1973,0761,0.0
1973,0763,0.0
1973,0764,0.0
1973,0765,0.0
1973,0767,0.0
1973,0780,0.1864836048101166
1973,0781,0.0
1973,0821,0.0
1973,0834,0.0
1973,0840,0.0
1973,0860,0.0
1973,0861,0.0
1973,0862,0.0
1973,0880,0.0582540527697811
1973,0881,0.0
1973,0882,0.0
1973,0883,0.0
1973,0884,0.0
1973,0885,0.0
1973,0980,0.0
1973,1060,0.0
1973,1080,0.0
1973,1081,0.0
1973,1082,0.0
1973,1083,0.0
1973,1214,0.0
1973,1230,0.0
1973,1231,0.0
1973,1233,0.04504445161873566
1973,1256,0.0
1973,1257,0.08081947190390329
1973,1260,0.08092258310952503
1973,1261,0.0
1973,1262,0.0
1973,1263,0.0
1973,1264,0.0
1973,1265,0.0
1973,1266,0.0
1973,1267,0.0
1973,1270,0.0
1973,1272,0.0
1973,1273,0.0
1973,1275,0.06788723463419848
1973,1276,0.023349790359162913
1973,1277,0.04883815066215474
1973,1278,0.0
1973,1280,0.0
1973,1281,0.0
1973,1282,0.004930350231882763
1973,1283,0.017038328539628427
1973,1284,0.0
1973,1285,0.0
1973,1286,0.0
1973,1287,0.0
1973,1290,0.0
1973,1291,0.0
1973,1292,0.0016503467110062786
1973,1293,0.00014898851393203155
1973,1315,0.030041520125753875
1973,1380,0.0
1973,1381,0.0692305027208879
1973,1382,0.0
1973,1383,0.0
1973,1384,0.0
1973,1401,0.0
1973,1402,0.0
1973,1407,0.0
1973,1415,0.0
1973,1419,0.0
1973,1421,0.0
1973,1427,0.0
1973,1430,0.0
1973,1435,0.0
1973,1438,0.0
1973,1439,0.0
1973,1440,0.0
1973,1441,0.0
1973,1442,0.0
1973,1443,0.0
1973,1444,0.0
1973,1445,0.0
1973,1446,0.0
1973,1447,0.0
1973,1452,0.0
1973,1460,0.0
1973,1461,0.0
1973,1462,0.0
1973,1463,0.0
1973,1465,0.0010496586592927237
1973,1466,0.0
1973,1470,0.0
1973,1471,0.0
1973,1472,0.0
1973,1473,0.0
1973,1480,0.0
1973,1481,0.0
1973,1482,0.0
1973,1484,0.0
1973,1485,0.0
1973,1486,0.0
1973,1487,0.0
1973,1488,0.0
1973,1489,0.0
1973,1490,0.0
1973,1491,0.0
1973,1492,0.0
1973,1493,0.0
1973,1494,0.0
1973,1495,0.0
1973,1496,0.0
1973,1497,0.0
1973,1498,0.0
1973,1499,0.0
1973,1715,0.0
1973,1730,0.0
1973,1737,0.0
1973,1760,0.0
1973,1761,0.0
1973,1762,0.0
1973,1763,0.0
1973,1764,0.0
1973,1765,0.0
1973,1766,0.0
1973,1780,0.0
1973,1781,0.0
1973,1782,0.02232550261703481
1973,1783,0.0
1973,1784,0.0
1973,1785,0.0
1973,1814,0.0
1973,1860,0.0
1973,1861,0.0
1973,1862,0.0
1973,1863,0.0
1973,1864,0.0
1973,1880,0.0
1973,1881,0.0
1973,1882,0.0
1973,1883,0.0
1973,1884,0.0
1973,1885,0.0
1973,1904,0.0
1973,1907,0.0
1973,1960,0.0
1973,1961,0.0
1973,1962,0.0
1973,1980,0.0
1973,1981,0.0
1973,1982,0.0
1973,1983,0.0
1973,1984,0.0
1973,2021,0.0
1973,2023,0.0
1973,2026,0.0
1973,2029,0.0
1973,2031,0.0
1973,2034,0.0
1973,2039,0.0
1973,2061,0.0
1973,2062,0.0
1973,2080,0.0
1973,2081,0.0
1973,2082,0.0
1973,2083,0.0
1973,2084,0.0
1973,2085,0.0
1973,2101,0.0
1973,2104,5.744928602016142e-05
1973,2121,0.0
1973,2132,0.0
1973,2161,0.0
1973,2180,0.0
1973,2181,0.009324877928143816
1973,2182,0.0
1973,2183,0.0
1973,2184,0.0
1973,2260,0.0
1973,2262,0.0
1973,2280,0.04529732872025918
1973,2281,0.0
1973,2282,0.0
1973,2283,0.3388491353983592
1973,2284,0.0
1973,2303,0.0
1973,2305,0.0
1973,2309,0.0
1973,2313,0.0
1973,2321,0.007882280048708697
1973,2326,0.0
1973,2361,0.0
1973,2380,0.0
1973,2401,0.007422067662839418
1973,2403,0.0
1973,2404,0.0
1973,2409,0.2933619492975661
1973,2417,0.058515828144089954
1973,2418,0.1571349762279211
1973,2421,0.0
1973,2422,0.0
1973,2425,0.0
1973,2460,0.34907498729533
1973,2462,0.0
1973,2463,0.0
1973,2480,0.39424511749742375
1973,2481,0.4200487035914607
1973,2482,0.38709687423967626
1973,2505,0.0
1973,2506,0.03191751332721384
1973,2510,0.0
1973,2513,0.09905481929238641
1973,2514,0.2434315712091299
1973,2518,0.3376804851273247
1973,2521,0.035900507281824375
1973,2523,0.0
1973,2560,0.062188009855369646
1973,2580,0.22032309091908187
1973,2581,0.22790304390911478
1973,2582,0.0
1973,2583,3.2004543456757903
1973,2584,0.07325647902361143
1976,0114,0.0
1976,0115,0.0
1976,0117,0.0
1976,0120,0.0
1976,0123,0.0
1976,0125,0.0
1976,0126,0.0
1976,0127,0.0
1976,0128,0.0
1976,0136,0.0
1976,0138,0.0
1976,0139,0.0
1976,0140,0.08607877979461337
1976,0160,0.0
1976,0162,0.0
1976,0163,0.0
1976,0180,0.0
1976,0181,0.02785700034132274
1976,0182,0.0
1976,0183,0.0
1976,0184,0.0
1976,0186,0.0
1976,0187,0.0
1976,0188,0.012102738814528786
1976,0191,0.0
1976,0192,0.0
1976,0305,0.025093667728366926
1976,0319,0.0
1976,0330,0.0
1976,0331,0.0
1976,0360,0.0
1976,0380,0.0
1976,0381,0.0
1976,0382,0.0
1976,0428,0.0
1976,0461,0.11265527857731533
1976,0480,0.048415349534394664
1976,0481,0.0
1976,0482,0.005352880648476627
1976,0483,0.0
1976,0484,0.0
1976,0486,0.18815730195188593
1976,0488,0.0
1976,0509,0.15191984375217002
1976,0512,0.27450839430908675
1976,0513,0.0
1976,0560,0.0
1976,0561,0.0
1976,0562,0.0
1976,0563,0.0
1976,0580,0.0
1976,0581,0.0
1976,0582,0.0
1976,0583,0.11417006759969192
1976,0584,0.03318560955838127
1976,0586,0.0
1976,0604,0.19703671585985444
1976,0617,0.056625242948287
1976,0642,1.2302083543529259
1976,0643,0.5259528816585458
1976,0662,0.015246370939631621
1976,0665,0.03696045894329583
1976,0680,0.01980652889963971
1976,0682,0.24246601323828787
1976,0683,0.0
1976,0684,0.09303622124346188
1976,0685,0.055508169441651406
1976,0686,0.3115074710577777
1976,0687,0.024642574179159576
1976,0760,0.43969219729605513
1976,0761,0.16788411038878026
1976,0763,0.03228820975676184
1976,0764,0.0
1976,0765,0.0
1976,0767,0.0
1976,0780,0.1763788875733965
1976,0781,0.09301827929157883
1976,0821,0.23115654641299435
1976,0834,0.0
1976,0840,0.0
1976,0860,1.0437655141367068
1976,0861,0.0
1976,0862,0.0
1976,0880,0.0
1976,0881,0.0
1976,0882,0.04785415090182585
1976,0883,0.0
1976,0884,0.0
1976,0885,0.0
1976,0980,0.0
1976,1060,0.0
1976,1080,0.0
1976,1081,0.0261151992774801
1976,1082,0.1019793238694494
1976,1083,0.0
1976,1214,0.01038024672942543
1976,1230,0.0
